Size,Method,File,LoadMs,EncryptMs,SumMs,DecryptMs,TotalMs,CPUTimeNs,CPUPercent,HeapBefore,HeapAfter,NumVotes,ThroughputVps,LatencyMsPerVote,CipherSizeBytes,Success,Error
500,ElGamal,benchmarks_data\500\500_23.txt,26.043,152.279,32.831,0.057,222.416,296875000,12.185,1891352,1778488,500,2248.041,0.444832,8,true,
500,ElGamal,benchmarks_data\500\500_15.txt,25.397,64.154,12.169,0.059,102.995,62500000,6.089,1629840,1911320,500,4854.609,0.205990,8,true,
500,ElGamal,benchmarks_data\500\500_07.txt,24.580,62.712,18.632,0.073,107.827,62500000,6.229,1589928,1687400,500,4637.079,0.215653,8,true,
500,ElGamal,benchmarks_data\500\500_09.txt,14.525,62.960,17.204,0.054,112.764,62500000,6.204,1584296,1522712,500,4434.047,0.225528,8,true,
500,ElGamal,benchmarks_data\500\500_24.txt,18.256,80.381,14.013,0.041,120.908,187500000,14.579,1656344,1467240,500,4135.393,0.241815,8,true,
500,ElGamal,benchmarks_data\500\500_13.txt,52.238,28.792,21.331,0.044,127.284,140625000,30.526,1717056,1487248,500,3928.236,0.254567,8,true,
500,ElGamal,benchmarks_data\500\500_19.txt,8.381,86.458,21.965,0.054,134.535,265625000,19.202,1652896,1469152,500,3716.508,0.269070,8,true,
500,ElGamal,benchmarks_data\500\500_22.txt,33.396,53.654,28.714,0.037,140.417,156250000,18.201,1726176,1519560,500,3560.830,0.280833,8,true,
500,ElGamal,benchmarks_data\500\500_17.txt,33.360,53.430,28.931,0.018,141.368,156250000,18.277,1745648,1492288,500,3536.871,0.282736,8,true,
500,ElGamal,benchmarks_data\500\500_21.txt,46.286,46.603,34.156,0.057,151.600,281250000,37.719,1792272,1466200,500,3298.151,0.303200,8,true,
5000,Paillier,benchmarks_data\5K\5K_21.txt,56.834,19072.929,745.791,4.538,19890.231,292390625000,95.813,1913616,5547360,5000,251.380,3.978046,256,true,
5000,Paillier,benchmarks_data\5K\5K_22.txt,37.811,19263.552,582.181,4.917,19904.658,295109375000,95.747,2036864,4272352,5000,251.197,3.980932,257,true,
5000,Paillier,benchmarks_data\5K\5K_02.txt,71.539,19379.405,499.487,9.906,19976.092,297546875000,95.961,2093176,2495160,5000,250.299,3.995218,256,true,
5000,Paillier,benchmarks_data\5K\5K_19.txt,38.755,19568.986,366.419,19.183,19996.923,299750000000,95.735,1993920,2574912,5000,250.038,3.999385,256,true,
5000,Paillier,benchmarks_data\5K\5K_10.txt,55.877,19413.238,543.991,5.523,20034.485,297812500000,95.879,1890648,2895456,5000,249.570,4.006897,256,true,
5000,Paillier,benchmarks_data\5K\5K_16.txt,3.366,19792.036,652.129,4.645,20453.171,302828125000,95.628,1659240,2591416,5000,244.461,4.090634,256,true,
5000,Paillier,benchmarks_data\5K\5K_07.txt,43.228,19914.108,611.153,3.980,20588.730,304062500000,95.429,1966464,2438456,5000,242.851,4.117746,256,true,
5000,Paillier,benchmarks_data\5K\5K_08.txt,10.986,19836.377,772.118,3.773,20624.643,303312500000,95.567,1668480,2440048,5000,242.428,4.124929,256,true,
5000,Paillier,benchmarks_data\5K\5K_04.txt,134.576,19727.369,810.550,4.147,20692.032,302343750000,95.788,1890504,2564200,5000,241.639,4.138406,256,true,
5000,Paillier,benchmarks_data\5K\5K_20.txt,28.392,19882.945,814.255,3.828,20739.191,303812500000,95.500,3022672,2532104,5000,241.089,4.147838,256,true,
5000,Paillier,benchmarks_data\5K\5K_14.txt,51.542,19973.850,747.883,4.302,20786.695,304703125000,95.344,1939232,2607288,5000,240.538,4.157339,256,true,
5000,Paillier,benchmarks_data\5K\5K_06.txt,71.846,19839.306,1038.061,3.830,20968.062,303750000000,95.691,2617112,2886080,5000,238.458,4.193612,256,true,
5000,Paillier,benchmarks_data\5K\5K_23.txt,17.451,20283.787,801.909,81.524,21187.281,308031250000,94.913,2039920,2906048,5000,235.991,4.237456,256,true,
5000,Paillier,benchmarks_data\5K\5K_11.txt,66.501,19943.476,1075.000,3.785,21104.693,304500000000,95.426,1889056,2878688,5000,236.914,4.220939,256,true,
5000,Paillier,benchmarks_data\5K\5K_25.txt,31.814,19918.528,1112.221,81.122,21160.092,304078125000,95.413,2025504,2983248,5000,236.294,4.232018,256,true,
5000,Paillier,benchmarks_data\5K\5K_03.txt,14.917,10777.154,1088.919,4.103,11887.010,159625000000,92.571,2604408,12386152,5000,420.627,2.377402,256,true,
5000,Paillier,benchmarks_data\5K\5K_18.txt,7.535,11674.229,1391.379,4.103,13079.355,172250000000,92.217,3928200,12211432,5000,382.282,2.615871,256,true,
5000,Paillier,benchmarks_data\5K\5K_09.txt,3.258,11818.634,1315.158,8.963,13148.562,174875000000,92.478,2476448,12029472,5000,380.270,2.629712,256,true,
5000,Paillier,benchmarks_data\5K\5K_05.txt,4.120,12825.572,403.590,3.933,13238.144,191218750000,93.182,2563840,4871616,5000,377.696,2.647629,256,true,
5000,Paillier,benchmarks_data\5K\5K_12.txt,3.704,12651.043,366.936,3.159,13051.906,189796875000,93.765,2963328,3474936,5000,383.086,2.610381,256,true,
5000,Paillier,benchmarks_data\5K\5K_13.txt,3.720,12054.252,217.889,2.752,12279.869,180468750000,93.571,4901728,2429528,5000,407.170,2.455974,256,true,
5000,Paillier,benchmarks_data\5K\5K_24.txt,99.057,11577.840,224.241,8.685,11911.127,174109375000,93.988,5150072,1837152,5000,419.776,2.382225,256,true,
5000,Paillier,benchmarks_data\5K\5K_15.txt,32.792,12087.187,216.690,1.928,12339.683,180984375000,93.583,4797272,2296152,5000,405.197,2.467937,256,true,
5000,Paillier,benchmarks_data\5K\5K_01.txt,3.399,11749.565,219.276,1.951,11975.359,176281250000,93.770,4740584,1606496,5000,417.524,2.395072,256,true,
5000,Paillier,benchmarks_data\5K\5K_17.txt,2.581,11713.449,164.097,1.651,11882.782,174750000000,93.242,5156720,1476544,5000,420.777,2.376556,256,true,
5000,ElGamal,benchmarks_data\5K\5K_16.txt,3.088,183.627,21.404,0.131,209.108,921875000,31.377,2190832,7614640,5000,23911.043,0.041822,8,true,
5000,ElGamal,benchmarks_data\5K\5K_09.txt,35.658,210.070,21.812,0.058,287.289,1406250000,41.839,2149088,5533312,5000,17404.108,0.057458,8,true,
5000,ElGamal,benchmarks_data\5K\5K_18.txt,27.170,239.148,48.559,0.053,325.229,1468750000,38.385,2059352,5853712,5000,15373.783,0.065046,8,true,
5000,ElGamal,benchmarks_data\5K\5K_08.txt,13.014,268.872,69.587,0.055,352.869,1500000000,34.868,1993832,5990352,5000,14169.584,0.070574,8,true,
5000,ElGamal,benchmarks_data\5K\5K_04.txt,11.888,261.063,67.968,0.059,352.479,1484375000,35.537,1763784,5948048,5000,14185.258,0.070496,8,true,
5000,ElGamal,benchmarks_data\5K\5K_23.txt,19.769,256.740,99.674,0.048,387.071,1640625000,39.939,2023864,6190720,5000,12917.543,0.077414,8,true,
5000,ElGamal,benchmarks_data\5K\5K_17.txt,27.961,250.108,102.764,0.048,401.534,1625000000,40.608,2108088,6130376,5000,12452.236,0.080307,8,true,
5000,ElGamal,benchmarks_data\5K\5K_05.txt,57.333,441.962,23.650,0.056,542.337,2218750000,31.376,2270008,3648040,5000,9219.365,0.108467,7,true,
5000,ElGamal,benchmarks_data\5K\5K_13.txt,48.264,450.606,30.080,0.057,548.270,2281250000,31.641,1911656,3658504,5000,9119.599,0.109654,8,true,
5000,ElGamal,benchmarks_data\5K\5K_20.txt,69.334,442.166,47.025,0.047,577.435,2453125000,34.675,1826488,3677760,5000,8658.985,0.115487,8,true,
5000,ElGamal,benchmarks_data\5K\5K_06.txt,50.108,461.899,67.733,0.049,600.637,2281250000,30.868,2059032,3662032,5000,8324.491,0.120127,8,true,
5000,ElGamal,benchmarks_data\5K\5K_02.txt,57.141,462.861,78.909,0.058,620.011,2484375000,33.546,1882696,4684816,5000,8064.373,0.124002,8,true,
5000,ElGamal,benchmarks_data\5K\5K_14.txt,63.932,455.200,86.911,0.087,626.099,2468750000,33.897,1786488,3902184,5000,7985.952,0.125220,8,true,
5000,ElGamal,benchmarks_data\5K\5K_07.txt,42.779,490.655,83.760,0.060,637.827,2656250000,33.835,2016544,3805032,5000,7839.117,0.127565,8,true,
5000,ElGamal,benchmarks_data\5K\5K_11.txt,48.546,476.940,97.133,0.053,642.419,2640625000,34.604,2101248,3861512,5000,7783.085,0.128484,8,true,
5000,ElGamal,benchmarks_data\5K\5K_01.txt,3.662,521.026,25.183,0.085,550.966,1875000000,22.492,7759152,5534848,5000,9074.972,0.110193,8,true,
5000,ElGamal,benchmarks_data\5K\5K_19.txt,5.200,492.809,32.617,0.060,531.718,1781250000,22.591,5990272,3179464,5000,9403.477,0.106344,8,true,
5000,ElGamal,benchmarks_data\5K\5K_15.txt,64.260,395.353,37.171,0.068,497.764,1812500000,28.653,6138624,1961064,5000,10044.931,0.099553,8,true,
5000,ElGamal,benchmarks_data\5K\5K_21.txt,19.348,359.565,42.322,0.056,422.427,1781250000,30.962,6450312,1759992,5000,11836.359,0.084485,8,true,
5000,ElGamal,benchmarks_data\5K\5K_22.txt,17.653,341.025,45.095,0.055,421.305,1765625000,32.359,6482808,1759992,5000,11867.878,0.084261,8,true,
5000,ElGamal,benchmarks_data\5K\5K_12.txt,31.714,336.765,44.572,0.056,430.862,1765625000,32.768,6443752,1521496,5000,11604.633,0.086172,8,true,
5000,ElGamal,benchmarks_data\5K\5K_10.txt,2.754,388.195,51.557,0.051,458.298,1812500000,29.182,6333424,1501768,5000,10909.939,0.091660,8,true,
5000,ElGamal,benchmarks_data\5K\5K_03.txt,17.719,274.755,37.707,0.043,331.257,1140625000,25.946,3664504,1485928,5000,15094.012,0.066251,8,true,
5000,ElGamal,benchmarks_data\5K\5K_25.txt,24.304,186.989,41.224,0.022,286.244,1203125000,40.214,3956768,1482576,5000,17467.621,0.057249,8,true,
5000,ElGamal,benchmarks_data\5K\5K_24.txt,23.022,163.984,41.748,0.057,267.635,1156250000,44.069,3977648,1482576,5000,18682.188,0.053527,8,true,
50000,Paillier,benchmarks_data\50K\50K_11.txt,85.624,200711.821,2074.282,4.298,202885.236,3089250000000,96.197,2003344,11898480,50000,246.445,4.057705,256,true,
50000,Paillier,benchmarks_data\50K\50K_19.txt,111.917,200587.450,2208.943,6.303,202923.448,3087921875000,96.215,1768744,2195488,50000,246.398,4.058469,256,true,
50000,Paillier,benchmarks_data\50K\50K_08.txt,57.474,201064.026,2766.932,4.119,203893.604,3093562500000,96.162,2760640,3752464,50000,245.226,4.077872,256,true,
50000,Paillier,benchmarks_data\50K\50K_07.txt,101.659,201125.981,2714.404,3.929,203953.811,3095093750000,96.180,1877384,2698480,50000,245.154,4.079076,256,true,
50000,Paillier,benchmarks_data\50K\50K_23.txt,97.674,201020.782,3021.969,72.572,204219.362,3093500000000,96.181,1985328,3569112,50000,244.835,4.084387,256,true,
50000,Paillier,benchmarks_data\50K\50K_17.txt,133.829,201239.994,3055.497,4.177,204442.353,3097015625000,96.185,1634048,3024024,50000,244.568,4.088847,256,true,
50000,Paillier,benchmarks_data\50K\50K_04.txt,129.529,201011.614,3403.813,3.904,204557.013,3093843750000,96.196,1692408,3158288,50000,244.431,4.091140,256,true,
50000,Paillier,benchmarks_data\50K\50K_16.txt,51.394,201250.099,3336.385,3.976,204643.057,3096078125000,96.151,3374480,3341064,50000,244.328,4.092861,256,true,
50000,Paillier,benchmarks_data\50K\50K_14.txt,147.419,201089.973,3540.683,4.109,204787.840,3095125000000,96.198,1584920,3874792,50000,244.155,4.095757,256,true,
50000,Paillier,benchmarks_data\50K\50K_20.txt,155.692,201221.303,3438.388,3.775,204827.560,3097000000000,96.194,1556736,3300904,50000,244.108,4.096551,257,true,
50000,Paillier,benchmarks_data\50K\50K_13.txt,69.133,201271.574,3498.250,7.480,204854.393,3096734375000,96.162,3295144,3475008,50000,244.076,4.097088,256,true,
50000,Paillier,benchmarks_data\50K\50K_18.txt,104.382,201463.588,3545.947,5.978,205129.428,3099843750000,96.166,1839016,3519872,50000,243.749,4.102589,256,true,
50000,Paillier,benchmarks_data\50K\50K_25.txt,119.945,201413.170,3605.650,24.061,205171.750,3099171875000,96.170,1739432,3462896,50000,243.698,4.103435,256,true,
50000,Paillier,benchmarks_data\50K\50K_15.txt,72.912,201441.547,3632.527,3.911,205159.298,3099000000000,96.151,2206640,3545912,50000,243.713,4.103186,257,true,
50000,Paillier,benchmarks_data\50K\50K_02.txt,81.677,201763.765,4298.719,3.907,206155.693,3103531250000,96.138,2096104,4818440,50000,242.535,4.123114,256,true,
50000,Paillier,benchmarks_data\50K\50K_12.txt,43.940,134571.246,1726.745,3.924,136347.798,2063031250000,95.815,1913816,8088256,50000,366.709,2.726956,256,true,
50000,Paillier,benchmarks_data\50K\50K_21.txt,69.654,134732.282,1674.081,3.772,136481.504,2064421875000,95.765,2309192,2356152,50000,366.350,2.729630,256,true,
50000,Paillier,benchmarks_data\50K\50K_05.txt,101.777,133262.543,1706.688,3.716,135076.539,2043156250000,95.824,3102464,2013736,50000,370.161,2.701531,256,true,
50000,Paillier,benchmarks_data\50K\50K_09.txt,362.475,133398.128,1782.277,3.735,135549.816,2045218750000,95.823,2816672,1909128,50000,368.868,2.710996,256,true,
50000,Paillier,benchmarks_data\50K\50K_10.txt,23.140,133281.073,1713.435,1.835,135020.523,2043281250000,95.816,3125512,2408368,50000,370.314,2.700410,256,true,
50000,Paillier,benchmarks_data\50K\50K_24.txt,99.840,133285.018,1760.580,2.797,135149.809,2043406250000,95.819,3114264,2094888,50000,369.960,2.702996,256,true,
50000,Paillier,benchmarks_data\50K\50K_22.txt,202.970,133522.705,1731.285,1.804,135461.177,2045640625000,95.753,3233040,1692296,50000,369.109,2.709224,256,true,
50000,Paillier,benchmarks_data\50K\50K_06.txt,170.496,133905.754,1707.908,1.674,135787.259,2050546875000,95.708,2816736,2313752,50000,368.223,2.715745,256,true,
50000,Paillier,benchmarks_data\50K\50K_01.txt,54.930,133132.434,1686.999,1.648,134877.408,2040546875000,95.795,3518936,1524752,50000,370.707,2.697548,256,true,
50000,Paillier,benchmarks_data\50K\50K_03.txt,217.083,132555.595,1695.027,1.665,134470.939,2032796875000,95.846,4824280,1552056,50000,371.828,2.689419,256,true,
50000,ElGamal,benchmarks_data\50K\50K_16.txt,44.328,1950.143,107.595,0.133,2103.826,17265625000,55.334,2889448,62852888,50000,23766.229,0.042077,8,true,
50000,ElGamal,benchmarks_data\50K\50K_20.txt,104.226,1924.597,125.068,0.065,2159.288,17546875000,56.982,1716192,60268624,50000,23155.778,0.043186,8,true,
50000,ElGamal,benchmarks_data\50K\50K_24.txt,100.419,1935.458,205.507,0.050,2249.541,17750000000,57.318,1716192,60768176,50000,22226.756,0.044991,8,true,
